Term,Coefficient,Signal
animals,7.679841206623338,Return-indicative
purple,-7.659649661266639,Normal-indicative
cream,-7.631666353048951,Normal-indicative
bag alphabet,7.618249803101304,Return-indicative
charm,-7.6079842088195475,Normal-indicative
baking set,7.602680867818322,Return-indicative
wall art,-7.599430954587137,Normal-indicative
sewing kit,7.594246697430098,Return-indicative
ribbons,-7.544676914314637,Normal-indicative
bell,-7.541813595090607,Normal-indicative
sewing,7.541483372926427,Return-indicative
cushion cover,7.508972894835315,Return-indicative
wicker large,-7.498332024416439,Normal-indicative
lid,7.495496341746671,Return-indicative
heart of,7.472616723723631,Return-indicative
set 12,-7.452578036275366,Normal-indicative
drawing slate,-7.423848562248462,Normal-indicative
drawing,-7.423848562248462,Normal-indicative
magic drawing,-7.423848562248462,Normal-indicative
block,-7.406846428997931,Normal-indicative
white hanging,-7.397878176256414,Normal-indicative
cake cases,-7.395122834456842,Normal-indicative
charlotte bag,7.388441842993058,Return-indicative
tea towels,7.3281611036770835,Return-indicative
towels,7.3281611036770835,Return-indicative
doll,7.262388805735231,Return-indicative
fairy,-7.2156893708133065,Normal-indicative
water,-7.213352423252726,Normal-indicative
paper bunting,7.188779263552069,Return-indicative
playing,-7.152076545437874,Normal-indicative
playing cards,-7.152076545437874,Normal-indicative
english,-7.125120043115877,Normal-indicative
doormat,-7.107774567683296,Normal-indicative
retro,-7.100760155471838,Normal-indicative
mug,7.0999725258769555,Return-indicative
candles,-7.086044144145454,Normal-indicative
vintage doily,7.078336275131619,Return-indicative
christmas tree,-7.077353534407073,Normal-indicative
flag,-7.076275429675486,Normal-indicative
childrens,7.068306069704843,Return-indicative
12,-7.0412620198198175,Normal-indicative
pink,-6.962357289552364,Normal-indicative
apple,-6.864478831788913,Normal-indicative
card holder,6.852038150789721,Return-indicative
assorted,-6.833120376715911,Normal-indicative
and,-6.80416079563735,Normal-indicative
font,-6.796650207177443,Normal-indicative
metal sign,-6.74583487759299,Normal-indicative
notebook,6.7445084359453515,Return-indicative
popcorn,6.723994263233499,Return-indicative
popcorn holder,6.723994263233499,Return-indicative
scented,-6.704531460911813,Normal-indicative
bag dolly,-6.68922155385567,Normal-indicative
of,6.676701028504727,Return-indicative
skull,-6.589023332393396,Normal-indicative
retrospot paper,-6.558155877804717,Normal-indicative
love heart,-6.543617395095284,Normal-indicative
reel,-6.539175291931399,Normal-indicative
playhouse,6.536164601102338,Return-indicative
poppy playhouse,6.536164601102338,Return-indicative
bunting,-6.530137036052338,Normal-indicative
retrospot cake,6.526002171712067,Return-indicative
leaf,6.508335036541733,Return-indicative
dolly girl,-6.502204428382586,Normal-indicative
bathroom,-6.495323181093485,Normal-indicative
ribbon,-6.481829791595041,Normal-indicative
ribbon reel,-6.462080928456584,Normal-indicative
stationery,-6.407619524476504,Normal-indicative
pot,6.384725273236369,Return-indicative
girl,-6.365013532523871,Normal-indicative
chocolate,-6.355901885764861,Normal-indicative
acrylic edwardian,6.3471584350387795,Return-indicative
roses,6.340328765281267,Return-indicative
art,6.311791190757568,Return-indicative
ceramic drawer,-6.300586348950577,Normal-indicative
white finish,6.265873294934186,Return-indicative
lunch bag,6.262831807314922,Return-indicative
teacup and,-6.233755504810692,Normal-indicative
teacup,-6.233755504810692,Normal-indicative
regency teacup,-6.233755504810692,Normal-indicative
set,-6.204692273138378,Normal-indicative
love london,6.1726568729339215,Return-indicative
container,6.132675372428217,Return-indicative
dolly,-6.084123734888077,Normal-indicative
hanging decoration,-6.038338991028373,Normal-indicative
sweet,-5.963931307491219,Normal-indicative
yellow,-5.957036596364286,Normal-indicative
top,5.927080841857218,Return-indicative
of tea,-5.914196344640253,Normal-indicative
jigsaw,-5.894581007310204,Normal-indicative
paper,-5.871343320454983,Normal-indicative
coat,-5.861635212814639,Normal-indicative
of cake,5.832002562514741,Return-indicative
party,-5.782144807639533,Normal-indicative
20,5.760842114343083,Return-indicative
kitchen,-5.624671382994944,Normal-indicative
key,-5.620433971759536,Normal-indicative
cases,-5.617956754582527,Normal-indicative
union,-5.558437275829524,Normal-indicative
pen,-5.553188972283726,Normal-indicative
style,-5.534806264948569,Normal-indicative
12 pencils,5.519918521275913,Return-indicative
enamel,5.4794930869452925,Return-indicative
edwardian,5.451838273913091,Return-indicative
with cutlery,-5.429969187284307,Normal-indicative
keep,-5.418117727253306,Normal-indicative
watering,-5.387863734642111,Normal-indicative
watering can,-5.387863734642111,Normal-indicative
of 12,-5.38762536261028,Normal-indicative
single,-5.330328589867186,Normal-indicative
up,-5.316317458305217,Normal-indicative
mat,-5.281019008102419,Normal-indicative
white heart,5.207812855788292,Return-indicative
apron,5.153530449983796,Return-indicative
wallet,5.132659940656538,Return-indicative
travel card,5.132659940656538,Return-indicative
card wallet,5.132659940656538,Return-indicative
charlie,-5.132005881671612,Normal-indicative
pantry,5.117815865594995,Return-indicative
ant,-5.093274946397198,Normal-indicative
retrospot tea,-5.073311983400062,Normal-indicative
making set,5.016154283604986,Return-indicative
jam making,5.016154283604986,Return-indicative
blue,-5.012232130256446,Normal-indicative
wicker heart,-5.010147815716889,Normal-indicative
making,4.986842634317688,Return-indicative
candle,-4.9659663887594485,Normal-indicative
table,-4.943993533851769,Normal-indicative
stationery set,-4.878256393535574,Normal-indicative
egg cup,-4.825320753617683,Normal-indicative
apples,4.747199180059437,Return-indicative
small,-4.747055790618192,Normal-indicative
storage,4.730684012341218,Return-indicative
diner wall,4.730377603296643,Return-indicative
poppy,4.724128337087748,Return-indicative
craft,-4.722651068434448,Normal-indicative
tube,-4.6877581618922575,Normal-indicative
bag suki,4.620318848799708,Return-indicative
hook,4.5930652972327195,Return-indicative
tea,-4.57031339105408,Normal-indicative
time,-4.522560771294801,Normal-indicative
happy birthday,-4.513597606356334,Normal-indicative
bells,-4.49939607068876,Normal-indicative
baking,-4.430308842168077,Normal-indicative
trinket pot,4.361374590488647,Return-indicative
lights,4.258279295781583,Return-indicative
chick,-4.249048477841798,Normal-indicative
spot,4.220575191543672,Return-indicative
woodland,-4.21830230598156,Normal-indicative
wicker small,4.159766581903258,Return-indicative
bag woodland,4.148676997308794,Return-indicative
empire,-4.117027179894186,Normal-indicative
traditional,-4.107326334380113,Normal-indicative
50,4.076698558169164,Return-indicative
cutters,-4.060057792176148,Normal-indicative
light,-4.05008487755854,Normal-indicative
door sign,-4.033787169541142,Normal-indicative
tin vintage,-4.01599000260261,Normal-indicative
wall,4.005429004350416,Return-indicative
recipe,4.002936897097863,Return-indicative
parade,3.9901496062238864,Return-indicative
circus parade,3.9901496062238864,Return-indicative
circus,3.9901496062238864,Return-indicative
skulls,-3.916531441105437,Normal-indicative
cushion,-3.7719099783407817,Normal-indicative
60,3.759805364633914,Return-indicative
round snack,3.7551014282368107,Return-indicative
snack boxes,3.7551014282368107,Return-indicative
acrylic,-3.7415932088475956,Normal-indicative
your,3.70347788959655,Return-indicative
knob,3.6895239963786577,Return-indicative
drawer knob,3.6895239963786577,Return-indicative
lunch box,-3.673638204645306,Normal-indicative
led,3.6011451669111127,Return-indicative
parasol,-3.5868003042914625,Normal-indicative
of 20,-3.5367456578474408,Normal-indicative
door,3.4897348944109723,Return-indicative
bottle,-3.3786714175272032,Normal-indicative
box of,-3.369271459524915,Normal-indicative
paper doilies,-3.3408317482076244,Normal-indicative
cake,3.3220189311465784,Return-indicative
wall clock,-3.315790901461488,Normal-indicative
cutlery,-3.184543311400969,Normal-indicative
magic,3.15655536364404,Return-indicative
board,3.1507351679478797,Return-indicative
box with,3.142441453242768,Return-indicative
hand warmer,3.136324072132694,Return-indicative
jumbo bag,-3.067134473290803,Normal-indicative
lunch,3.0668470615144248,Return-indicative
charlie lola,-3.033369950242699,Normal-indicative
wood,3.0244803003391656,Return-indicative
